what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1398404563445
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1398404563445
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1398404563446
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1398404563446
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1398404563447
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1398404563447
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1398404563448
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1398404563449
started,bundle,org.testng.eclipse,6.8.6.20141201_2240,"org.testng.eclipse",1398404563450
os,sysinfo,,,"win32",1398404563453
arch,sysinfo,,,"x86_64",1398404563453
ws,sysinfo,,,"win32",1398404563453
locale,sysinfo,,,"en_US",1398404563453
processors,sysinfo,,,"4",1398404563453
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1398404563453
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1398404563453
java.specification.name,sysinfo,,,"Java Platform API Specification",1398404563453
java.specification.vendor,sysinfo,,,"Oracle Corporation",1398404563453
java.specification.version,sysinfo,,,"1.7",1398404563453
java.vendor,sysinfo,,,"Oracle Corporation",1398404563453
java.version,sysinfo,,,"1.7.0_25",1398404563453
java.vm.info,sysinfo,,,"mixed mode",1398404563453
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1398404563453
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1398404563453
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1398404563453
java.vm.specification.version,sysinfo,,,"1.7",1398404563453
java.vm.vendor,sysinfo,,,"Oracle Corporation",1398404563453
java.vm.version,sysinfo,,,"23.25-b01",1398404563453
