what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398408872142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398408890508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398408893816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398408909977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398408910017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398408912063
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398408913363
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398408930716
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398408933462
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398408938514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398408944001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398408946393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398408977255
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398408979360
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398408979653
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398408980151
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398408980339
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398408980655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398408984104
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398408985482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398408985508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1398408985550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398408996774
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398409006400
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398409006443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398409006470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1398409006502
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398409012392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398409014708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398409016413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398409016948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398409036046
error,log,,,"Error",1398409036068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398409037829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398409056420
error,log,,,"Error",1398409056424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398409058776
